1: Concept_name
2: Part_of_relationship_value
3: Physical_anatomical_entity
4: Non_physical_anatomical_entity_template
5: Anatomical_structure
6: Portion_of_body_substance
7: Subdivision_of_genital_system
8: Subdivision_of_hemolymphoid_system
9: Subdivision_of_nervous_system
10: Immaterial_anatomical_entity
11: Material_anatomical_entity
12: Cell
13: Attribute_entity
14: Structural_relationship_value
15: Anatomical_entity
16: Anatomical_entity_template
17: Set_of_heterogeneous_clusters
18: Standard_FMA_class
19: Anatomical_set
20: APUD_cell
21: Endo_epithelial_cell
22: Epithelial_cell
23: Somatic_cell
24: Diploid_nucleated_cell
25: Nucleated_cell
26: Abdomen
27: Subdivision_of_trunk_proper
28: Subdivision_of_trunk
29: Subdivision_of_body_proper
30: Subdivision_of_cardinal_body_part
31: Transudate
32: Abdominal_aorta
33: Segment_of_aorta
34: Segment_of_arterial_trunk
35: Segment_of_arterial_tree_organ
36: Organ_segment
37: Organ_region
38: Abdominal_cavity
39: Body_cavity_subdivision
40: Space_of_compartment_of_trunk
41: Anatomical_compartment_space
42: Anatomical_space
43: Anatomical_surface
44: Abdominal_lymph_node
45: Deep_lymph_node
46: Lymph_node
47: Organ_component
48: Cardinal_organ_part
49: Abdominal_part_of_esophagus
50: Segment_of_esophagus
51: Abducens_nerve
52: Cranial_nerve
53: Neural_tree_organ
54: Nonparenchymatous_organ
55: Solid_organ
56: Organ
57: Abducens_nucleus
58: Nucleus_of_cranial_nerve
59: Nucleus_of_brain
60: Nucleus_of_neuraxis
61: Internal_gray_matter_component
62: Gray_matter_of_neuraxis
63: Abductor_pollicis_longus
64: Deep_muscle_of_posterior_compartment_of_forearm
65: Muscle_of_posterior_compartment_of_forearm
66: Muscle_of_forearm
67: Muscle_of_free_upper_limb
68: Muscle_of_upper_limb
69: Accessory_pancreatic_duct
70: Pancreatic_duct
71: Duct
72: Acellular_anatomical_structure
73: Acellular_membrane
74: Acetabular_part_of_hip_bone
75: Zone_of_hip_bone
76: Zone_of_bone_organ
77: Zone_of_organ
78: Acidic_glycosphingolipid
79: Glycosphingolipid
80: Glycolipid
81: Glycoconjugate
82: Biological_macromolecule
83: Acidophil_cell
84: Chromophilic_cell
85: General_anatomical_term
86: Miscellaneous_term
87: Acidophil_cell_of_pars_distalis_of_adenohypophysis
88: Chromophil_cell_of_pars_distalis_of_adenohypophysis
89: Neurecto_epithelial_cell
90: Ecto_epithelial_cell
91: Acinar_cell
92: Acinus
93: Lobular_organ_component
94: Acromioclavicular_joint
95: Synovial_joint_of_pectoral_girdle
96: Synovial_joint
97: Joint
98: Heterogeneous_cluster
99: Anatomical_cluster
100: Acromion
101: Zone_of_scapula
102: Zone_of_flat_bone
103: Actin
104: Motor_protein
105: Protein
106: Actin_binding_protein
107: Actin_filament
108: Cytoskeletal_filament
109: Cell_component
110: Cardinal_cell_part
111: Actin_myofilament
112: Adenine
113: Purine
114: Adenohypophysis
115: Anatomical_lobe
116: Adherens_junction
117: Anchoring_cell_junction
118: Intercellular_junction
119: Cell_junction
120: Anatomical_junction
121: Adhesive_belt
122: Cell_to_cell_adherens_junction
123: Adhesive_strip
124: Adipocyte
125: Connective_tissue_cell
126: Adipose_tissue
127: Dense_irregular_connective_tissue
128: Irregular_connective_tissue
129: Portion_of_connective_tissue
130: Portion_of_tissue
131: Adrenal_cortex
132: Cortex
133: Adrenal_gland
134: Corticomedullary_organ
135: Parenchymatous_organ
136: Adrenal_medulla
137: Medulla
138: Adrenocorticotropin
139: Hormone
140: Adventitia
141: Organ_component_layer
142: Adventitial_cell
143: Afferent_neuron
144: Neuron
145: Neural_cell
146: Aggregated_lymphoid_follicle_of_small_intestine
147: Gut_associated_lymphoid_tissue
148: Organized_mucosa_associated_lymphoid_tissue
149: Mucosa_associated_lymphoid_tissue
150: Epithelium_associated_lymphoid_tissue
151: Lymphoid_tissue
152: Alanine
153: Amino_acid
154: Alimentary_system
155: Organ_system
156: Alpha_adrenergic_receptor
157: Catecholamine_receptor
158: Neurotransmitter_receptor
159: Alpha_cell
160: Alveolar_duct
161: Alveolar_epithelial_cell
162: Alveolar_macrophage
163: Histiocyte
164: Macrophage
165: Differentiated_hemal_cell
166: Hemal_cell
167: Alveolar_sac
168: Alveolus
169: Alveus_of_hippocampus
170: Segment_of_white_matter_of_neuraxis
171: White_matter_of_neuraxis
172: Cell_part_cluster_of_neuraxis
173: Cell_part_cluster
174: Amacrine_cell
175: Neuron_of_retina
176: Ameloblast
177: General_ecto_epithelial_cell
178: Amnion
179: Extra_embryonic_structure
180: Gestational_structure
181: Amniotic_cavity
182: Embryonic_space
183: Gestational_space
184: Anatomical_boundary_entity
185: Organ_system_subdivision
186: Subdivision_of_head
187: Trunk_of_systemic_vein
188: Amphiarthrosis
189: Ampullary_crest_of_semicircular_duct
190: Organ_crest
191: Amygdala
192: Basal_ganglion_of_telencephalon
193: Nuclear_complex_of_neuraxis
194: Anal_canal
195: Organ_with_organ_cavity
196: Cavitated_organ
197: Anal_column
198: Zone_of_anal_canal_viewed_anatomically
199: Anal_gland
200: Organ_component_gland
201: Anal_part_of_perineum
202: Subdivision_of_perineum
203: Anal_sinus
204: Organ_cavity_subdivision
205: Anatomical_cavity
206: Anastomosis
207: Zone_of_continuity
208: Venous_trunk
209: Segment_of_venous_tree_organ
